BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)
!
! Unless mentioned otherwise, we assumed:
! photon count integration (caracteristic of CCDs)
!  UKIDSS filter system


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0500
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.015  1760.   -3.74  4.29  0.146    1.000  13.98  15.37  12.42  11.42  10.62  
 0.020  1838.   -3.72  4.47  0.137    1.000  13.73  15.18  12.17  11.31  10.64  
 0.030  2304.   -3.28  4.60  0.144    1.000  11.50  12.77  10.62  10.21   9.81  
 0.040  2525.   -3.05  4.65  0.156    1.000  10.99  12.00  10.16   9.71   9.33  
 0.050  2671.   -2.88  4.67  0.170    1.000  10.50  11.35   9.77   9.29   8.94  
 0.060  2804.   -2.73  4.69  0.182    0.999  10.12  10.88   9.47   8.99   8.65  
 0.070  2882.   -2.63  4.70  0.195    0.992   9.89  10.58   9.24   8.75   8.43  
 0.072  2896.   -2.61  4.70  0.198    0.989   9.85  10.52   9.19   8.70   8.38  
 0.075  2916.   -2.57  4.70  0.202    0.982   9.77  10.43   9.12   8.63   8.31  
 0.080  2945.   -2.53  4.70  0.209    0.960   9.66  10.30   9.02   8.53   8.22  
 0.090  2996.   -2.45  4.70  0.221    0.862   9.46  10.07   8.84   8.33   8.04  
 0.100  3037.   -2.38  4.71  0.232    0.596   9.31   9.88   8.69   8.18   7.89  
 0.200  3280.   -1.94  4.70  0.332    0.000   8.24   8.70   7.69   7.14   6.88  
 0.300  3407.   -1.69  4.69  0.411    0.000   7.64   8.06   7.11   6.54   6.30  
 0.400  3512.   -1.50  4.68  0.479    0.000   7.21   7.59   6.69   6.10   5.87  
 0.500  3617.   -1.34  4.66  0.548    0.000   6.81   7.17   6.31   5.70   5.48  
 0.600  3821.   -1.13  4.63  0.621    0.000   6.36   6.67   5.87   5.23   5.05  
 0.700  4270.   -0.83  4.59  0.702    0.000   5.70   5.96   5.26   4.61   4.49  
 0.800  4938.   -0.49  4.56  0.776    0.005   4.96   5.14   4.61   4.13   4.06  
 0.900  5236.   -0.36  4.58  0.802    0.083   4.69   4.84   4.38   3.97   3.91  
 1.000  5536.   -0.17  4.53  0.895    0.307   4.28   4.40   4.00   3.65   3.60  
 1.100  5833.    0.03  4.47  1.013    0.574   3.85   3.96   3.60   3.31   3.27  
 1.200  6133.    0.23  4.40  1.150    0.770   3.44   3.52   3.21   2.96   2.93  
 1.300  6435.    0.40  4.34  1.283    0.880   3.07   3.13   2.87   2.66   2.63  
 1.400  6759.    0.56  4.30  1.389    0.938   2.77   2.82   2.59   2.42   2.40  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.0800
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.030  2047.   -3.58  4.69  0.129    1.000  12.81  14.22  11.47  10.89  10.44  
 0.040  2387.   -3.26  4.76  0.138    1.000  11.54  12.68  10.62  10.17   9.80  
 0.050  2586.   -3.06  4.80  0.148    0.999  10.98  11.92  10.19   9.73   9.38  
 0.060  2709.   -2.92  4.82  0.158    0.985  10.63  11.43   9.90   9.41   9.07  
 0.070  2829.   -2.78  4.83  0.169    0.864  10.28  10.99   9.61   9.12   8.80  
 0.072  2845.   -2.76  4.83  0.171    0.801  10.24  10.94   9.57   9.08   8.75  
 0.075  2869.   -2.73  4.83  0.174    0.680  10.17  10.85   9.50   9.01   8.69  
 0.080  2905.   -2.69  4.83  0.179    0.407  10.05  10.71   9.40   8.90   8.59  
 0.090  2962.   -2.60  4.84  0.190    0.020   9.85  10.47   9.21   8.71   8.41  
 0.100  3010.   -2.54  4.84  0.198    0.000   9.68  10.27   9.06   8.55   8.26  
 0.200  3275.   -2.08  4.83  0.285    0.000   8.58   9.04   8.03   7.48   7.22  
 0.300  3406.   -1.82  4.81  0.355    0.000   7.97   8.38   7.44   6.87   6.63  
 0.400  3522.   -1.61  4.79  0.421    0.000   7.48   7.86   6.97   6.38   6.15  
 0.500  3668.   -1.40  4.75  0.496    0.000   6.97   7.32   6.48   5.87   5.66  
 0.600  4039.   -1.09  4.68  0.583    0.000   6.30   6.58   5.84   5.18   5.03  
 0.700  4497.   -0.83  4.68  0.636    0.000   5.73   5.96   5.32   4.72   4.62  
 0.800  4830.   -0.61  4.64  0.705    0.005   5.24   5.44   4.88   4.38   4.30  
 0.900  5212.   -0.37  4.59  0.799    0.082   4.71   4.87   4.40   3.99   3.93  
 1.000  5533.   -0.17  4.53  0.901    0.307   4.27   4.39   3.98   3.64   3.59  
 1.100  5876.    0.05  4.46  1.019    0.574   3.82   3.92   3.57   3.28   3.24  
 1.200  6164.    0.24  4.39  1.152    0.770   3.42   3.50   3.20   2.95   2.92  
 1.300  6451.    0.41  4.33  1.283    0.880   3.06   3.13   2.86   2.66   2.63  
 1.400  6766.    0.56  4.30  1.391    0.938   2.76   2.82   2.59   2.42   2.40  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.1000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.030  1912.   -3.74  4.73  0.124    1.000  13.53  15.01  11.99  11.26  10.73  
 0.040  2311.   -3.36  4.81  0.130    1.000  11.85  13.03  10.85  10.40  10.03  
 0.050  2525.   -3.15  4.85  0.139    0.999  11.27  12.24  10.41   9.94   9.59  
 0.060  2670.   -3.00  4.88  0.148    0.953  10.85  11.69  10.09   9.60   9.26  
 0.070  2794.   -2.87  4.89  0.158    0.587  10.49  11.22   9.81   9.31   8.98  
 0.072  2813.   -2.84  4.89  0.160    0.447  10.43  11.15   9.76   9.26   8.93  
 0.075  2839.   -2.81  4.89  0.162    0.233  10.36  11.06   9.69   9.19   8.87  
 0.080  2879.   -2.76  4.89  0.167    0.028  10.24  10.91   9.58   9.08   8.77  
 0.090  2942.   -2.68  4.90  0.176    0.000  10.04  10.67   9.39   8.89   8.58  
 0.100  2993.   -2.61  4.90  0.185    0.000   9.85  10.45   9.23   8.72   8.43  
 0.200  3272.   -2.14  4.89  0.265    0.000   8.75   9.20   8.19   7.65   7.39  
 0.300  3409.   -1.87  4.87  0.333    0.000   8.10   8.51   7.57   7.01   6.77  
 0.400  3529.   -1.65  4.84  0.399    0.000   7.58   7.96   7.07   6.50   6.26  
 0.500  3705.   -1.41  4.77  0.480    0.000   7.01   7.34   6.52   5.91   5.70  
 0.600  4100.   -1.09  4.71  0.564    0.000   6.32   6.59   5.86   5.21   5.07  
 0.700  4402.   -0.88  4.69  0.624    0.000   5.85   6.09   5.42   4.80   4.70  
 0.800  4826.   -0.61  4.64  0.707    0.005   5.24   5.43   4.88   4.37   4.30  
 0.900  5209.   -0.37  4.58  0.801    0.082   4.71   4.86   4.39   3.98   3.92  
 1.000  5541.   -0.16  4.53  0.903    0.307   4.26   4.38   3.98   3.63   3.58  
 1.100  5886.    0.05  4.46  1.020    0.574   3.81   3.91   3.56   3.28   3.24  
 1.200  6170.    0.24  4.39  1.153    0.770   3.41   3.49   3.19   2.95   2.91  
 1.300  6453.    0.41  4.33  1.284    0.880   3.06   3.12   2.86   2.65   2.63  
 1.400  6766.    0.56  4.30  1.393    0.938   2.76   2.81   2.59   2.42   2.39  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.1200
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.030  1779.   -3.88  4.75  0.120    1.000  14.27  15.57  12.77  11.77  11.00  
 0.040  2225.   -3.46  4.84  0.125    1.000  12.33  13.62  11.18  10.64  10.24  
 0.050  2471.   -3.23  4.89  0.133    0.997  11.49  12.51  10.59  10.12   9.77  
 0.060  2635.   -3.06  4.92  0.141    0.901  11.02  11.89  10.24   9.76   9.42  
 0.070  2757.   -2.94  4.93  0.149    0.244  10.68  11.44   9.97   9.47   9.14  
 0.072  2780.   -2.91  4.94  0.151    0.111  10.62  11.35   9.92   9.42   9.09  
 0.075  2810.   -2.88  4.94  0.154    0.017  10.53  11.24   9.84   9.34   9.02  
 0.080  2853.   -2.83  4.94  0.158    0.000  10.41  11.09   9.73   9.23   8.91  
 0.090  2924.   -2.74  4.95  0.167    0.000  10.19  10.82   9.53   9.03   8.73  
 0.100  2978.   -2.67  4.95  0.175    0.000  10.00  10.61   9.37   8.86   8.57  
 0.200  3270.   -2.19  4.94  0.251    0.000   8.87   9.32   8.31   7.77   7.51  
 0.300  3411.   -1.91  4.91  0.318    0.000   8.20   8.61   7.68   7.12   6.87  
 0.400  3536.   -1.68  4.87  0.384    0.000   7.66   8.03   7.15   6.57   6.34  
 0.500  3727.   -1.42  4.79  0.471    0.000   7.03   7.36   6.55   5.94   5.73  
 0.600  4030.   -1.15  4.74  0.546    0.000   6.45   6.73   5.99   5.34   5.18  
 0.700  4400.   -0.88  4.69  0.626    0.000   5.84   6.08   5.41   4.80   4.69  
 0.800  4825.   -0.61  4.64  0.708    0.005   5.24   5.43   4.87   4.37   4.29  
 0.900  5208.   -0.37  4.58  0.801    0.082   4.71   4.86   4.39   3.98   3.92  
 1.000  5547.   -0.16  4.53  0.904    0.307   4.25   4.37   3.97   3.63   3.58  
 1.100  5889.    0.05  4.46  1.021    0.574   3.81   3.90   3.56   3.27   3.23  
 1.200  6172.    0.24  4.39  1.154    0.770   3.41   3.49   3.19   2.95   2.91  
 1.300  6455.    0.41  4.33  1.286    0.880   3.05   3.12   2.86   2.65   2.62  
 1.400  6767.    0.56  4.29  1.394    0.938   2.75   2.81   2.58   2.42   2.39  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.2000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.040  1940.   -3.78  4.93  0.114    1.000  13.68  15.11  12.14  11.40  10.90  
 0.050  2268.   -3.48  5.00  0.118    0.986  12.36  13.56  11.22  10.70  10.32  
 0.060  2488.   -3.28  5.03  0.123    0.466  11.63  12.61  10.72  10.25   9.91  
 0.070  2639.   -3.14  5.06  0.129    0.000  11.21  12.07  10.42   9.93   9.60  
 0.072  2664.   -3.11  5.06  0.131    0.000  11.14  11.98  10.37   9.88   9.55  
 0.075  2698.   -3.08  5.07  0.132    0.000  11.04  11.85  10.29   9.81   9.48  
 0.080  2756.   -3.02  5.08  0.136    0.000  10.89  11.64  10.17   9.67   9.35  
 0.090  2853.   -2.91  5.08  0.143    0.000  10.63  11.30   9.94   9.44   9.13  
 0.100  2926.   -2.83  5.08  0.151    0.000  10.41  11.03   9.75   9.24   8.94  
 0.200  3264.   -2.28  5.03  0.226    0.000   9.11   9.56   8.55   8.01   7.75  
 0.300  3414.   -1.98  4.98  0.294    0.000   8.37   8.77   7.84   7.28   7.04  
 0.400  3537.   -1.73  4.92  0.365    0.000   7.77   8.14   7.26   6.69   6.46  
 0.500  3701.   -1.46  4.82  0.453    0.000   7.14   7.47   6.65   6.05   5.83  
 0.600  3981.   -1.17  4.74  0.547    0.000   6.49   6.78   6.02   5.38   5.21  
 0.700  4390.   -0.88  4.68  0.630    0.000   5.84   6.08   5.41   4.79   4.68  
 0.800  4824.   -0.61  4.64  0.711    0.004   5.23   5.42   4.86   4.36   4.28  
 0.900  5207.   -0.37  4.58  0.804    0.082   4.70   4.86   4.39   3.98   3.91  
 1.000  5567.   -0.15  4.52  0.907    0.307   4.23   4.35   3.95   3.61   3.57  
 1.100  5895.    0.06  4.46  1.024    0.574   3.80   3.90   3.55   3.27   3.23  
 1.200  6177.    0.24  4.39  1.158    0.770   3.40   3.48   3.18   2.94   2.90  
 1.300  6456.    0.42  4.33  1.291    0.880   3.04   3.11   2.85   2.64   2.61  
 1.400  6766.    0.57  4.29  1.405    0.938   2.74   2.79   2.57   2.40   2.37  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.3000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.040  1667.   -4.09  4.97  0.108    1.000  14.95  16.10  13.65  12.47  11.50  
 0.050  2063.   -3.72  5.07  0.109    0.970  13.25  14.57  11.87  11.26  10.86  
 0.060  2331.   -3.48  5.12  0.112    0.084  12.15  13.29  11.15  10.69  10.36  
 0.070  2519.   -3.31  5.15  0.117    0.000  11.69  12.62  10.80  10.31   9.99  
 0.072  2552.   -3.28  5.15  0.118    0.000  11.61  12.51  10.73  10.25   9.92  
 0.075  2594.   -3.24  5.16  0.119    0.000  11.49  12.36  10.65  10.16   9.84  
 0.080  2660.   -3.17  5.16  0.122    0.000  11.27  12.11  10.50  10.02   9.70  
 0.090  2782.   -3.04  5.17  0.129    0.000  10.96  11.67  10.24   9.74   9.43  
 0.100  2874.   -2.94  5.17  0.137    0.000  10.70  11.35  10.02   9.51   9.21  
 0.200  3261.   -2.32  5.06  0.218    0.000   9.18   9.63   8.62   8.08   7.82  
 0.300  3415.   -1.99  4.99  0.290    0.000   8.40   8.80   7.87   7.31   7.07  
 0.400  3528.   -1.73  4.92  0.364    0.000   7.78   8.16   7.28   6.70   6.47  
 0.500  3689.   -1.46  4.82  0.455    0.000   7.14   7.47   6.65   6.04   5.83  
 0.600  3971.   -1.17  4.74  0.550    0.000   6.49   6.78   6.02   5.38   5.21  
 0.700  4388.   -0.88  4.68  0.632    0.000   5.83   6.07   5.40   4.78   4.67  
 0.800  4822.   -0.61  4.63  0.713    0.004   5.22   5.42   4.86   4.36   4.28  
 0.900  5209.   -0.37  4.58  0.806    0.081   4.69   4.85   4.38   3.97   3.91  
 1.000  5572.   -0.14  4.52  0.909    0.307   4.22   4.35   3.95   3.61   3.56  
 1.100  5898.    0.06  4.46  1.027    0.574   3.79   3.89   3.54   3.26   3.22  
 1.200  6179.    0.25  4.39  1.164    0.770   3.39   3.47   3.17   2.93   2.89  
 1.300  6456.    0.42  4.32  1.300    0.880   3.03   3.10   2.83   2.63   2.60  
 1.400  6761.    0.58  4.28  1.417    0.938   2.72   2.78   2.55   2.38   2.36  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.4000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.050  1836.   -3.96  5.10  0.104    0.957  14.19  15.45  12.73  11.86  11.25  
 0.060  2207.   -3.62  5.17  0.106    0.011  12.84  14.05  11.62  11.07  10.71  
 0.070  2419.   -3.43  5.20  0.110    0.000  12.07  13.06  11.08  10.59  10.28  
 0.072  2457.   -3.40  5.21  0.111    0.000  11.96  12.93  11.00  10.52  10.20  
 0.075  2508.   -3.35  5.21  0.112    0.000  11.82  12.74  10.90  10.41  10.10  
 0.080  2594.   -3.27  5.22  0.115    0.000  11.58  12.44  10.73  10.23   9.92  
 0.090  2726.   -3.13  5.22  0.122    0.000  11.13  11.92  10.42   9.94   9.63  
 0.100  2844.   -3.00  5.21  0.130    0.000  10.85  11.52  10.16   9.64   9.34  
 0.200  3260.   -2.32  5.07  0.217    0.000   9.20   9.65   8.64   8.10   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   8.40   8.80   7.87   7.32   7.07  
 0.400  3526.   -1.73  4.91  0.366    0.000   7.78   8.15   7.27   6.69   6.46  
 0.500  3685.   -1.46  4.82  0.457    0.000   7.13   7.47   6.64   6.04   5.83  
 0.600  3969.   -1.17  4.73  0.551    0.000   6.48   6.78   6.02   5.38   5.21  
 0.700  4387.   -0.87  4.68  0.633    0.000   5.83   6.07   5.40   4.78   4.67  
 0.800  4821.   -0.61  4.63  0.714    0.004   5.22   5.42   4.86   4.35   4.27  
 0.900  5210.   -0.36  4.58  0.808    0.081   4.69   4.84   4.37   3.96   3.90  
 1.000  5574.   -0.14  4.52  0.911    0.307   4.22   4.34   3.94   3.60   3.55  
 1.100  5901.    0.06  4.45  1.032    0.574   3.78   3.87   3.53   3.25   3.21  
 1.200  6181.    0.25  4.38  1.171    0.770   3.38   3.45   3.16   2.91   2.88  
 1.300  6453.    0.43  4.32  1.308    0.880   3.02   3.08   2.82   2.62   2.59  
 1.400  6750.    0.58  4.27  1.430    0.938   2.71   2.76   2.53   2.36   2.34  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.5000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.050  1698.   -4.12  5.13  0.101    0.947  14.85  15.99  13.58  12.46  11.55  
 0.060  2082.   -3.76  5.20  0.102    0.001  13.21  14.46  11.88  11.33  11.00  
 0.070  2335.   -3.53  5.24  0.105    0.000  12.21  13.36  11.26  10.82  10.51  
 0.072  2378.   -3.49  5.25  0.106    0.000  12.19  13.24  11.20  10.73  10.42  
 0.075  2435.   -3.44  5.25  0.107    0.000  12.08  13.06  11.10  10.62  10.31  
 0.080  2539.   -3.34  5.25  0.111    0.000  11.78  12.68  10.89  10.40  10.08  
 0.090  2696.   -3.18  5.25  0.118    0.000  11.22  12.06  10.52  10.04   9.73  
 0.100  2828.   -3.03  5.23  0.127    0.000  10.93  11.61  10.23   9.71   9.41  
 0.200  3260.   -2.32  5.07  0.217    0.000   9.20   9.65   8.64   8.10   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   8.40   8.80   7.87   7.32   7.07  
 0.400  3524.   -1.73  4.91  0.367    0.000   7.77   8.15   7.26   6.69   6.45  
 0.500  3682.   -1.46  4.82  0.457    0.000   7.13   7.47   6.64   6.04   5.83  
 0.600  3968.   -1.17  4.73  0.552    0.000   6.48   6.77   6.02   5.37   5.21  
 0.700  4386.   -0.87  4.68  0.634    0.000   5.83   6.07   5.40   4.78   4.67  
 0.800  4821.   -0.60  4.63  0.715    0.003   5.22   5.41   4.85   4.35   4.27  
 0.900  5211.   -0.36  4.57  0.810    0.080   4.68   4.84   4.37   3.96   3.90  
 1.000  5576.   -0.14  4.52  0.913    0.307   4.21   4.33   3.94   3.60   3.55  
 1.100  5904.    0.07  4.45  1.035    0.574   3.77   3.87   3.53   3.24   3.20  
 1.200  6182.    0.26  4.38  1.176    0.770   3.37   3.44   3.15   2.90   2.87  
 1.300  6451.    0.43  4.31  1.316    0.880   3.01   3.07   2.81   2.60   2.57  
 1.400  6742.    0.59  4.26  1.444    0.938   2.69   2.75   2.52   2.35   2.32  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.6250
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.050  1555.   -4.29  5.14  0.099    0.938  15.30  16.43  14.13  12.93  12.02  
 0.060  1908.   -3.94  5.23  0.098    0.000  13.92  15.19  12.48  11.79  11.33  
 0.070  2248.   -3.63  5.28  0.101    0.000  12.66  13.86  11.59  11.11  10.78  
 0.072  2301.   -3.58  5.28  0.102    0.000  12.24  13.47  11.34  10.93  10.64  
 0.075  2370.   -3.52  5.28  0.103    0.000  12.23  13.29  11.25  10.79  10.49  
 0.080  2485.   -3.41  5.28  0.107    0.000  11.98  12.91  11.04  10.55  10.24  
 0.090  2671.   -3.21  5.27  0.115    0.000  11.34  12.18  10.60  10.12   9.81  
 0.100  2817.   -3.05  5.24  0.126    0.000  10.98  11.66  10.27   9.76   9.45  
 0.200  3260.   -2.32  5.07  0.217    0.000   9.20   9.65   8.64   8.10   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   8.40   8.80   7.87   7.31   7.07  
 0.400  3522.   -1.72  4.91  0.369    0.000   7.76   8.14   7.25   6.68   6.45  
 0.500  3681.   -1.46  4.81  0.458    0.000   7.13   7.47   6.64   6.04   5.83  
 0.600  3969.   -1.17  4.73  0.552    0.000   6.48   6.77   6.01   5.37   5.20  
 0.700  4385.   -0.87  4.68  0.635    0.000   5.82   6.06   5.40   4.77   4.67  
 0.800  4821.   -0.60  4.63  0.716    0.003   5.21   5.41   4.85   4.35   4.27  
 0.900  5213.   -0.36  4.57  0.811    0.080   4.68   4.83   4.36   3.95   3.89  
 1.000  5580.   -0.14  4.51  0.916    0.307   4.20   4.32   3.93   3.59   3.54  
 1.100  5907.    0.07  4.44  1.040    0.574   3.76   3.85   3.51   3.23   3.19  
 1.200  6183.    0.26  4.37  1.183    0.770   3.35   3.43   3.13   2.89   2.85  
 1.300  6446.    0.44  4.31  1.327    0.880   2.99   3.06   2.79   2.58   2.56  
 1.400  6727.    0.59  4.25  1.462    0.938   2.67   2.72   2.49   2.32   2.30  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   0.8000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.060  1716.   -4.15  5.25  0.096    0.000  14.78  15.89  13.55  12.51  11.67  
 0.070  2136.   -3.75  5.31  0.097    0.000  13.16  14.34  11.88  11.36  11.07  
 0.072  2212.   -3.69  5.31  0.098    0.000  13.00  14.16  11.81  11.28  10.94  
 0.075  2294.   -3.61  5.32  0.100    0.000  12.30  13.54  11.41  11.00  10.71  
 0.080  2436.   -3.47  5.31  0.104    0.000  12.15  13.11  11.17  10.68  10.38  
 0.090  2656.   -3.24  5.28  0.114    0.000  11.42  12.26  10.66  10.17   9.86  
 0.100  2812.   -3.06  5.25  0.125    0.000  11.00  11.69  10.29   9.78   9.47  
 0.200  3260.   -2.32  5.07  0.217    0.000   9.20   9.65   8.64   8.10   7.84  
 0.300  3415.   -1.99  4.99  0.290    0.000   8.40   8.80   7.87   7.31   7.07  
 0.400  3521.   -1.72  4.90  0.371    0.000   7.75   8.13   7.24   6.67   6.44  
 0.500  3680.   -1.46  4.81  0.459    0.000   7.13   7.47   6.64   6.03   5.82  
 0.600  3968.   -1.17  4.73  0.553    0.000   6.48   6.77   6.01   5.37   5.20  
 0.700  4386.   -0.87  4.68  0.636    0.000   5.82   6.06   5.39   4.77   4.66  
 0.800  4823.   -0.60  4.63  0.718    0.003   5.21   5.40   4.84   4.34   4.26  
 0.900  5216.   -0.36  4.57  0.813    0.079   4.67   4.83   4.36   3.95   3.89  
 1.000  5586.   -0.13  4.51  0.920    0.306   4.19   4.31   3.92   3.58   3.53  
 1.100  5910.    0.08  4.44  1.046    0.574   3.75   3.84   3.50   3.22   3.18  
 1.200  6184.    0.27  4.36  1.193    0.770   3.33   3.41   3.11   2.87   2.84  
 1.300  6442.    0.45  4.29  1.345    0.880   2.96   3.03   2.76   2.56   2.53  
 1.400  6705.    0.61  4.24  1.491    0.938   2.63   2.69   2.46   2.28   2.26  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   1.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.060  1584.   -4.30  5.27  0.094    0.000  15.33  16.44  14.16  12.99  12.08  
 0.070  2047.   -3.85  5.33  0.094    0.000  13.48  14.69  12.15  11.58  11.24  
 0.072  2109.   -3.79  5.34  0.095    0.000  13.21  14.40  11.91  11.41  11.15  
 0.075  2243.   -3.67  5.34  0.097    0.000  12.76  13.95  11.69  11.20  10.89  
 0.080  2400.   -3.51  5.33  0.102    0.000  12.28  13.26  11.26  10.77  10.48  
 0.090  2648.   -3.25  5.29  0.113    0.000  11.46  12.30  10.69  10.20   9.89  
 0.100  2810.   -3.06  5.25  0.124    0.000  11.01  11.69  10.30   9.78   9.48  
 0.200  3261.   -2.32  5.07  0.217    0.000   9.20   9.65   8.64   8.10   7.84  
 0.300  3415.   -1.99  4.99  0.291    0.000   8.39   8.80   7.87   7.31   7.07  
 0.400  3520.   -1.72  4.90  0.372    0.000   7.75   8.12   7.24   6.66   6.43  
 0.500  3680.   -1.46  4.81  0.460    0.000   7.12   7.46   6.63   6.03   5.82  
 0.600  3967.   -1.16  4.73  0.554    0.000   6.47   6.76   6.01   5.36   5.20  
 0.700  4387.   -0.87  4.67  0.637    0.000   5.82   6.06   5.39   4.77   4.66  
 0.800  4826.   -0.60  4.63  0.719    0.002   5.20   5.40   4.84   4.34   4.26  
 0.900  5220.   -0.35  4.57  0.816    0.078   4.66   4.82   4.35   3.94   3.88  
 1.000  5592.   -0.13  4.51  0.923    0.306   4.18   4.30   3.91   3.57   3.52  
 1.100  5916.    0.09  4.43  1.054    0.574   3.73   3.82   3.48   3.20   3.16  
 1.200  6187.    0.28  4.36  1.204    0.770   3.31   3.39   3.09   2.85   2.82  
 1.300  6438.    0.46  4.28  1.363    0.880   2.94   3.00   2.74   2.53   2.50  
 1.400  6684.    0.62  4.22  1.521    0.938   2.60   2.66   2.42   2.24   2.22  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   2.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.070  1720.   -4.19  5.37  0.091    0.000  14.76  15.85  13.59  12.59  11.81  
 0.072  1811.   -4.09  5.38  0.091    0.000  14.32  15.45  13.03  12.25  11.65  
 0.075  2083.   -3.84  5.38  0.093    0.000  13.33  14.51  12.02  11.51  11.24  
 0.080  2348.   -3.57  5.35  0.099    0.000  12.28  13.40  11.35  10.91  10.63  
 0.090  2643.   -3.25  5.29  0.113    0.000  11.48  12.33  10.70  10.21   9.91  
 0.100  2810.   -3.06  5.25  0.124    0.000  11.01  11.70  10.30   9.79   9.48  
 0.200  3261.   -2.32  5.07  0.217    0.000   9.20   9.65   8.64   8.10   7.84  
 0.300  3415.   -1.98  4.98  0.293    0.000   8.38   8.78   7.85   7.29   7.05  
 0.400  3519.   -1.71  4.89  0.374    0.000   7.73   8.11   7.22   6.65   6.42  
 0.500  3679.   -1.45  4.81  0.462    0.000   7.11   7.45   6.62   6.02   5.81  
 0.600  3969.   -1.16  4.72  0.557    0.000   6.46   6.75   5.99   5.35   5.18  
 0.700  4396.   -0.86  4.67  0.640    0.000   5.80   6.04   5.37   4.75   4.64  
 0.800  4842.   -0.59  4.62  0.725    0.001   5.17   5.36   4.81   4.31   4.24  
 0.900  5244.   -0.33  4.56  0.827    0.073   4.62   4.77   4.31   3.91   3.85  
 1.000  5627.   -0.10  4.49  0.944    0.306   4.11   4.23   3.84   3.51   3.47  
 1.100  5945.    0.13  4.40  1.093    0.574   3.63   3.73   3.39   3.12   3.08  
 1.200  6202.    0.33  4.31  1.274    0.770   3.18   3.26   2.97   2.73   2.69  
 1.300  6403.    0.52  4.21  1.481    0.880   2.77   2.84   2.57   2.36   2.33  
 1.400  6464.    0.68  4.10  1.751    0.938   2.38   2.45   2.19   1.98   1.95  
