flux,1,2,3,4,5,6,8,10,13,16,20
1,0.18%,1.84%,6.49%,14.25%,,,,,,,
3,0.05%,0.70%,2.97%,7.16%,12.55%,,,,,,
10,/,0.22%,1.19%,3.29%,7.03%,14.53%,,,,,
30,,0.04%,0.36%,1.35%,3.19%,6.29%,17.58%,,,,
100,,,0.10%,0.27%,0.86%,1.92%,6.32%,11.12%,,,
300,,,,0.07%,0.14%,0.46%,2.18%,5.84%,13.54%,,
1000,,,,,,0.03%,0.25%,1.02%,3.91%,8.84%,17.27%
3000,,,,,,,,0.09%,0.33%,1.12%,3.34%
